variable_type,variable,n_total,median_enteritis_0,median_enteritis_1,p_mannwhitney,p_mannwhitney_fdr,spearman_rho,cliffs_delta,cliffs_delta_magnitude,priority_score
ordinal,MononuclearInfiltration,182,1.0,2.0,1.1262490251313998e-22,9.009992201051199e-22,0.7285860920645361,0.8464119291705499,large,31.916561807554743
ordinal,LaminaPropriaThickness,182,2.0,2.0,4.602860106661496e-07,1.8411440426645985e-06,0.37492370936551617,0.4911463187325256,large,5.046814909934583
quantitative,villus_width_mean_um,182,13.3,22.4,4.2859398922905223e-08,2.5715639353743134e-07,0.40735445307593926,0.5843429636533085,large,3.8507048241730035
quantitative,villus_width_median_um,182,12.6,20.4,1.8058437260135112e-07,5.417531178040534e-07,0.38800224389989457,0.5565703634669152,large,3.487580421573933
ordinal,MucosalFoldArchitecture,182,2.0,3.0,2.7753127137109664e-05,5.550625427421933e-05,0.3116663279217761,0.41547064305684994,medium,3.168011707107411
ordinal,StratumCompactumBaseFolds,182,2.0,2.0,2.055319713997933e-05,5.4808525706611545e-05,0.31670396855624733,0.39291705498602053,medium,2.9999056958013894
quantitative,villus_width_sd_um,182,3.1,7.0,2.3554686757565776e-06,4.710937351513155e-06,0.350983884384981,0.503448275862069,large,2.681814931016171
ordinal,SupranuclearVacuolation,182,3.0,4.0,0.0060227755259307575,0.009636440841489211,0.20428275562441495,0.2838769804287046,small,1.025459154044526
quantitative,villus_length_sd_um,182,163.6,171.8,0.18343320216080472,0.2751498032412071,0.09900724681936565,0.14203168685927306,negligible,0.07959893095666797
ordinal,SubmucosaThickness,182,2.0,2.0,0.7208969221248102,0.9611958961664135,0.026701663922772425,0.03392357875116496,negligible,0.0009384336258852073
quantitative,villus_length_mean_um,182,618.1,613.4,0.902611761393436,0.9303513679953322,0.00922508008655239,0.013233923578751165,negligible,0.00041492319860548767
ordinal,GobletCells,182,2.0,2.0,0.855774048233439,0.978027483695359,-0.013646295950584772,-0.01863932898415657,negligible,0.0003222475520404126
quantitative,villus_length_median_um,182,611.2,578.0,0.9303513679953322,0.9303513679953322,-0.0066265286338084385,-0.00950605778191985,negligible,0.0002980434243504207
ordinal,EosinophilicGranularCells,182,2.0,2.0,0.985848404816996,0.985848404816996,-0.0014832055511847543,-0.0016775396085740913,negligible,1.6711982559522534e-05
